,employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,satisfaction_level,last_evaluation
94,1595,6,255,4,0,1,No,sales,low,0.09,0.83
95,1605,2,155,3,0,1,No,sales,low,0.37,0.51
96,1610,6,265,4,0,1,No,sales,low,0.1,0.77
97,1622,6,279,4,0,1,No,sales,low,0.1,0.84
98,1639,6,284,4,0,1,No,sales,low,0.11,0.97
99,1641,5,221,6,0,1,No,sales,medium,0.9,1.0
100,1642,2,154,3,0,1,No,sales,medium,0.38,0.52
101,1651,2,147,3,0,1,No,sales,medium,0.36,0.52
102,1658,2,150,3,0,1,No,sales,medium,0.42,0.46
103,1659,7,267,4,0,1,No,sales,medium,0.09,0.94
104,1665,2,158,3,0,1,No,sales,medium,0.43,0.52
105,1669,7,224,5,0,1,No,accounting,medium,0.24,0.46
106,1674,4,257,5,0,1,No,accounting,medium,0.91,1.0
107,17376,2,148,3,0,1,No,accounting,medium,,
108,1679,3,177,4,0,1,No,hr,medium,0.71,0.87
109,19808,2,155,3,0,1,No,hr,medium,0.4,0.49
110,1691,2,144,3,0,1,No,hr,medium,0.43,0.47
111,1698,6,289,4,0,1,No,hr,high,0.09,0.85
112,1705,2,160,3,0,1,No,technical,low,0.43,0.52
113,22928,4,258,5,0,1,No,technical,medium,0.9,0.96
114,1713,5,234,5,0,1,No,technical,medium,0.84,1.0
115,1715,2,137,3,0,1,No,technical,medium,0.37,0.48
116,23766,5,263,2,0,1,No,technical,medium,0.86,0.68
117,1730,6,251,4,0,1,No,technical,low,0.11,0.84
118,1733,2,133,3,0,1,No,technical,low,0.37,0.57
119,23901,2,132,3,0,1,No,technical,low,0.4,0.46
120,1739,4,158,4,1,1,No,technical,low,,
121,1741,2,135,3,0,1,No,technical,low,0.4,0.46
122,1742,4,216,6,0,1,No,technical,low,0.75,1.0
123,1743,6,300,5,1,1,No,support,low,0.11,0.84
124,24128,2,138,3,0,1,No,support,low,0.46,0.49
125,1771,6,260,4,0,1,No,support,low,0.11,0.92
126,25406,2,132,3,0,1,No,support,low,0.38,0.49
127,1786,3,183,5,0,1,No,support,low,0.7,0.89
128,1789,6,250,4,0,1,No,support,low,0.09,0.82
129,1802,2,151,3,0,1,No,support,low,0.37,0.45
130,1819,6,292,4,0,1,No,support,low,0.1,0.83
131,1822,2,140,3,0,1,No,support,low,0.38,0.57
132,26438,5,221,5,0,1,No,support,low,0.9,1.0
133,1828,2,138,3,0,1,No,support,low,0.44,0.51
134,1833,2,132,3,0,1,No,technical,low,0.36,0.5
135,1842,7,133,5,0,1,No,technical,low,0.31,0.84
136,1843,6,283,4,1,1,No,technical,low,0.1,0.84
137,1847,2,129,3,0,1,No,management,low,,
138,1849,4,249,5,0,1,No,IT,low,0.74,1.0
139,1852,5,257,5,0,1,No,IT,low,0.73,0.87
140,1863,6,245,4,0,1,No,IT,low,0.09,0.96
141,1864,2,155,3,0,1,No,IT,low,0.45,0.53
142,1865,6,256,4,0,1,No,IT,low,0.11,0.8
143,26632,2,152,3,0,1,No,product_mng,low,0.37,0.47
144,26925,4,267,5,0,1,No,product_mng,low,0.84,0.99
145,7596,2,151,3,0,1,No,product_mng,low,0.41,0.46
146,1894,4,239,5,0,1,No,product_mng,low,0.76,0.92
147,1897,6,306,4,0,1,No,IT,low,0.11,0.87
148,1898,4,263,5,1,1,No,marketing,low,0.84,0.88
149,1901,2,147,3,0,1,No,marketing,low,0.39,0.5
150,1902,6,278,4,0,1,No,marketing,low,0.11,0.91
151,28174,2,154,3,0,1,No,marketing,low,0.45,0.56
152,1912,2,143,3,0,1,No,marketing,low,0.37,0.52
153,1915,2,155,3,0,1,No,marketing,low,0.4,0.52
154,1920,2,160,3,0,1,No,sales,low,0.39,0.48
155,1924,6,304,4,0,1,No,accounting,low,0.11,0.8
156,1931,5,240,5,0,1,No,support,low,0.83,1.0
157,1936,6,305,4,0,1,No,technical,low,0.11,0.92
158,1938,2,136,3,0,1,No,management,low,0.39,0.5
159,1948,2,132,3,0,1,No,marketing,low,0.45,0.45
160,1953,7,301,4,0,1,No,marketing,low,0.1,0.95
161,28695,5,243,6,0,1,No,marketing,low,0.9,0.98
162,1964,2,147,3,0,1,No,sales,low,0.45,0.51
163,1969,5,239,5,0,1,No,sales,low,0.79,0.89
164,1970,5,260,5,0,1,No,sales,low,0.9,0.99
165,1980,7,296,4,0,1,No,sales,low,0.11,0.84
166,1984,2,129,3,0,1,No,sales,low,0.43,0.55
167,31262,5,132,5,0,1,No,sales,low,0.31,0.54
168,32334,2,135,5,0,1,No,sales,low,0.32,0.5
169,1999,2,158,3,0,1,No,sales,low,0.45,0.57
170,2009,4,259,5,0,1,No,sales,low,0.81,0.99
171,2016,2,160,3,0,1,Yes,sales,low,0.41,0.46
172,2021,7,278,4,0,1,No,sales,low,0.11,0.78
173,2025,6,284,4,0,1,No,sales,low,0.1,0.88
174,2026,2,274,4,0,1,No,sales,low,0.7,0.53
175,32923,4,164,2,0,1,No,sales,low,,
176,2078,2,148,3,0,1,No,sales,low,0.41,0.48
177,33098,2,140,3,0,1,No,sales,medium,0.38,0.5
178,2084,2,127,3,0,1,No,sales,medium,0.37,0.51
179,2092,6,308,5,0,1,No,sales,medium,0.11,0.85
180,91566,2,146,3,0,1,No,sales,medium,0.4,0.47
181,2110,6,261,4,0,1,No,accounting,medium,0.1,0.84
182,2111,5,257,5,0,1,No,accounting,medium,0.89,0.99
183,2118,6,285,4,0,1,No,accounting,medium,0.11,0.8
184,2125,2,141,3,0,1,No,hr,medium,0.36,0.55
185,2126,2,127,3,0,1,No,hr,medium,0.4,0.46
186,2128,6,297,4,0,1,No,hr,medium,0.09,0.85
187,2135,2,143,3,0,1,No,hr,medium,0.4,0.46
188,2152,2,152,3,0,1,No,technical,medium,0.37,0.55
189,2156,2,156,3,0,1,No,technical,high,0.44,0.51
190,2157,7,283,5,0,1,No,technical,low,0.09,0.8
191,2160,4,226,6,1,1,No,technical,medium,0.92,
192,2169,4,232,5,0,1,No,technical,medium,0.74,0.91
193,2173,6,249,4,0,1,No,technical,medium,0.09,0.82
194,2174,4,275,5,0,1,No,technical,medium,0.89,0.95
195,2178,6,304,4,0,1,No,technical,low,0.09,0.8
196,2181,7,278,3,0,1,No,technical,low,0.27,0.54
197,2187,6,287,4,0,1,No,technical,low,0.1,0.91
198,2189,7,285,4,0,1,No,technical,low,0.1,0.89
199,2191,5,226,6,0,1,No,support,low,0.77,0.94
200,2193,5,259,5,0,1,No,support,low,0.9,0.82
201,2197,2,135,3,0,1,No,support,low,0.39,0.5
202,2200,5,219,5,0,1,No,support,low,0.76,1.0
203,2204,6,256,4,0,1,No,support,low,0.1,0.93
204,35563,5,254,6,0,1,No,support,low,0.87,0.9
205,2212,2,153,3,0,1,No,support,low,0.38,0.5
206,35940,5,228,5,0,1,No,support,low,0.77,0.99
207,2222,4,228,5,0,1,No,support,low,0.78,0.87
208,36647,2,128,3,0,1,No,support,low,0.44,0.5
209,2234,2,153,3,0,1,No,support,low,0.38,0.52
210,2241,2,156,3,0,1,No,technical,low,0.43,0.46
211,2248,4,294,3,0,1,No,technical,low,0.39,0.5
212,37364,5,219,5,0,1,No,technical,low,0.88,1.0
213,2253,2,153,3,0,1,No,management,low,0.45,0.46
214,2269,2,151,3,0,1,No,IT,low,0.4,0.53
215,2277,2,155,3,0,1,No,IT,low,0.36,0.51
216,2279,2,158,3,0,1,No,IT,low,0.36,0.48
217,2283,5,245,5,0,1,No,IT,low,0.9,0.98
218,38260,2,131,3,0,1,No,IT,low,0.43,0.53
219,2299,5,225,5,0,1,No,product_mng,low,0.89,0.87
220,2300,6,286,4,0,1,No,product_mng,low,0.1,0.84
221,38901,2,135,3,0,1,No,product_mng,low,0.37,0.5
222,2311,2,153,3,0,1,No,product_mng,low,0.37,0.51
223,2314,5,252,5,0,1,No,IT,low,0.87,0.9
224,2318,2,149,3,0,1,No,accounting,low,0.4,0.56
225,2340,4,258,5,0,1,No,accounting,low,0.9,0.97
226,2346,2,158,3,0,1,No,hr,low,0.37,0.46
227,2362,2,149,3,0,1,No,hr,low,0.44,0.54
228,2363,5,236,5,0,1,No,hr,low,0.85,0.95
229,40347,5,239,6,0,1,No,marketing,low,0.78,0.98
230,2395,2,159,3,0,1,No,marketing,low,0.42,0.47
231,2402,5,255,6,0,1,No,sales,low,0.92,0.99
232,2405,6,244,4,0,1,No,accounting,low,0.11,0.83
233,2415,2,134,3,0,1,No,support,low,0.42,0.56
234,40729,4,270,4,0,1,No,technical,low,0.48,0.57
235,2434,4,255,5,0,1,No,management,low,0.83,0.85
236,2444,2,151,3,0,1,No,marketing,low,0.4,0.53
237,41054,2,135,3,0,1,No,marketing,low,0.43,0.45
238,41767,2,146,3,0,1,No,marketing,low,0.43,0.53
239,64871,7,254,4,0,1,No,sales,low,0.1,0.97
240,2468,7,289,4,0,1,No,sales,low,0.1,0.87
241,2475,2,156,3,0,1,No,sales,low,0.37,0.46
242,2476,2,156,3,0,1,No,sales,low,0.38,0.53
243,97541,2,128,3,0,1,No,sales,low,0.4,0.5
244,2488,5,275,5,0,1,No,sales,low,0.89,0.86
245,42255,2,155,3,0,1,No,sales,low,0.45,0.46
246,98548,2,159,3,0,1,No,sales,low,0.37,0.48
247,25138,2,148,3,0,1,No,sales,low,0.46,0.49
248,2514,4,228,5,0,1,No,sales,low,0.87,0.91
249,2515,6,298,4,0,1,No,sales,low,0.11,0.84
250,2523,5,261,5,0,1,No,sales,low,0.79,0.87
251,2561,5,254,6,0,1,No,sales,low,0.79,0.92
252,2565,7,192,3,0,1,No,sales,low,0.19,0.59
253,2568,4,248,5,0,1,No,sales,low,0.87,0.98
254,2571,2,258,5,0,1,No,sales,low,0.6,0.92
255,2579,2,156,3,0,1,No,sales,medium,0.44,0.45
256,44247,6,266,4,1,1,No,sales,medium,0.11,0.81
257,2605,2,156,3,0,1,No,sales,medium,0.42,0.54
258,2613,5,232,5,1,1,No,accounting,medium,0.88,0.88
259,45097,6,287,4,0,1,No,accounting,medium,0.11,0.84
260,2630,2,154,3,0,1,No,accounting,medium,0.46,0.46
261,2632,5,263,5,0,1,No,hr,medium,0.82,0.97
262,2634,2,131,3,0,1,No,hr,medium,0.44,0.56
263,2645,6,260,4,0,1,No,hr,medium,0.11,0.78
264,45783,2,139,3,0,1,No,hr,medium,0.42,0.5
265,2658,4,251,5,0,1,No,technical,medium,0.84,0.93
266,2665,6,286,4,0,1,No,technical,medium,0.11,0.95
267,2672,2,129,3,0,1,No,technical,high,0.45,0.53
268,2675,2,156,3,0,1,No,technical,low,0.38,0.56
269,2677,6,139,6,0,1,No,technical,medium,0.38,0.86
270,49125,2,127,3,0,1,No,technical,medium,0.44,0.51
271,2679,6,251,4,0,1,No,technical,medium,0.11,0.84
272,2684,5,270,5,0,1,No,technical,medium,0.81,0.93
273,2692,6,296,4,0,1,No,technical,low,0.09,0.96
274,2693,6,254,4,0,1,No,technical,low,0.11,0.9
275,2699,5,238,6,0,1,No,technical,low,0.81,0.95
276,2701,6,267,4,1,1,No,support,low,0.1,0.97
277,2727,5,229,6,0,1,No,support,low,0.74,0.89
278,49502,6,254,4,0,1,No,support,low,0.09,0.78
279,53338,4,233,4,1,1,No,support,low,0.82,0.81
280,2748,6,268,4,0,1,No,support,low,0.1,0.98
281,54165,3,301,3,0,1,No,support,low,0.27,0.56
282,2753,5,267,6,0,1,No,support,low,0.83,0.92
283,2766,6,289,4,1,1,No,support,low,0.1,0.93
284,2767,2,144,3,0,1,No,support,low,0.38,0.47
285,2770,2,148,3,0,1,No,support,low,0.4,0.56
286,2771,6,306,4,0,1,No,support,low,0.11,0.83
287,2773,6,292,4,0,1,Yes,technical,low,0.11,0.79
288,2777,5,232,5,0,1,No,technical,low,0.82,0.91
289,2782,2,137,3,0,1,No,technical,low,0.36,0.48
290,27617,2,128,3,0,1,No,management,low,0.4,0.46
291,2784,5,231,5,0,1,No,IT,low,0.87,0.84
292,2786,2,146,3,0,1,No,IT,low,0.41,0.49
293,55195,6,308,4,1,1,No,IT,low,0.11,0.91
294,2807,6,253,4,0,1,No,IT,medium,0.1,0.93
295,2821,2,146,3,0,1,No,IT,medium,0.38,0.51
296,55937,2,156,3,0,1,No,product_mng,medium,0.39,0.55
297,2831,2,147,3,0,1,No,product_mng,medium,0.4,0.52
298,56819,2,136,3,0,1,No,product_mng,medium,0.45,0.48
299,56864,5,249,5,0,1,No,product_mng,medium,0.74,0.84
300,2841,2,151,3,0,1,No,IT,medium,0.45,0.55
301,2847,3,278,4,0,1,No,RandD,medium,0.12,1.0
302,57006,7,250,5,0,1,No,RandD,medium,0.1,0.77
303,2880,2,127,3,0,1,No,RandD,medium,0.37,0.55
304,2881,5,255,5,0,1,No,RandD,medium,0.89,0.87
305,2882,2,135,3,0,1,No,RandD,medium,0.45,0.47
306,57209,2,149,3,0,1,No,marketing,high,0.37,0.46
307,2896,5,287,4,0,1,No,sales,low,0.11,0.81
308,2899,2,145,3,0,1,No,accounting,medium,0.41,0.48
309,2901,6,285,4,0,1,No,support,medium,0.1,0.94
310,2912,7,305,4,0,1,No,technical,medium,0.1,0.93
311,2916,7,300,4,0,1,No,management,medium,0.11,0.95
312,2921,2,139,3,0,1,No,marketing,low,0.4,0.54
313,2923,2,130,3,0,1,No,marketing,low,0.41,0.49
314,2924,6,268,4,0,1,No,marketing,low,0.1,0.81
315,58161,4,245,6,0,1,No,sales,low,0.73,0.86
316,2932,2,135,3,0,1,No,sales,low,0.43,0.47
317,2933,2,153,3,0,1,No,sales,low,0.37,0.46
318,2940,6,276,4,0,1,No,sales,low,0.11,0.94
319,2944,2,130,3,0,1,No,sales,low,0.4,0.46
320,2945,2,153,3,1,1,No,sales,low,0.41,0.54
321,2949,5,244,5,0,1,No,sales,low,0.82,0.84
322,2972,2,253,3,0,1,No,sales,low,0.61,0.47
323,58798,7,287,4,0,1,No,sales,low,0.11,0.91
324,2988,2,131,3,0,1,No,sales,low,0.37,0.45
325,2990,2,135,3,0,1,No,sales,low,0.41,0.52
326,58972,2,157,3,0,1,No,sales,low,0.37,0.52
327,59323,5,262,6,0,1,No,sales,low,0.88,0.99
328,3010,6,266,4,0,1,No,sales,low,0.1,0.85
329,3011,2,148,3,0,1,No,sales,low,0.44,0.48
330,3013,2,140,3,0,1,No,sales,low,0.38,0.57
331,59644,7,302,4,0,1,No,sales,low,0.11,0.85
332,3022,6,271,4,0,1,No,sales,low,0.09,0.98
333,3024,2,145,3,0,1,No,sales,medium,0.45,0.52
334,59872,6,290,4,0,1,No,accounting,medium,0.1,0.81
335,3042,2,151,3,0,1,No,accounting,medium,0.45,0.47
336,3047,5,266,5,0,1,No,accounting,medium,0.77,0.87
337,3048,2,140,3,0,1,No,hr,medium,0.44,0.51
338,3064,2,142,3,0,1,No,hr,medium,0.39,0.5
339,3069,6,246,4,0,1,No,hr,medium,0.1,0.91
340,3091,7,308,5,0,1,No,hr,medium,0.09,0.89
341,3093,2,141,3,0,1,No,technical,medium,0.37,0.47
342,60841,5,232,5,0,1,No,technical,medium,0.9,1.0
343,3096,2,143,3,0,1,No,technical,medium,0.41,0.56
344,3100,2,155,3,0,1,No,technical,medium,0.37,0.52
345,3101,6,278,4,0,1,No,technical,high,0.1,0.86
346,61868,4,253,5,0,1,No,technical,low,0.81,1.0
347,3120,6,282,4,0,1,No,technical,medium,0.11,0.8
348,3122,7,264,4,0,1,No,technical,medium,0.11,0.84
349,3132,2,149,3,0,1,No,technical,medium,0.4,0.46
350,3137,6,304,5,0,1,No,technical,medium,0.09,0.8
351,64897,3,219,6,0,1,No,technical,low,0.48,0.93
352,3150,4,262,6,0,1,No,support,low,,0.91
353,3159,2,135,3,0,1,No,support,low,0.43,0.57
354,3160,6,219,5,0,1,No,support,low,0.33,0.88
355,3165,2,136,3,0,1,No,support,low,0.41,0.57
356,65495,2,154,3,0,1,No,support,low,0.41,0.55
357,3179,2,149,3,0,1,No,support,low,0.37,0.54
358,3185,6,135,5,0,1,No,support,low,0.31,0.62
359,3191,6,275,4,0,1,No,support,low,0.09,0.91
360,66022,6,290,4,0,1,No,support,low,0.1,0.87
361,3195,4,263,5,0,1,No,support,low,0.76,0.9
362,3204,2,145,3,0,1,No,support,low,0.41,0.54
363,3205,5,267,5,0,1,No,technical,low,0.72,0.96
364,66592,2,141,3,1,1,No,technical,low,0.4,0.5
365,3217,4,235,5,0,1,No,technical,low,0.91,0.87
366,68266,6,258,4,0,1,No,management,low,0.1,0.83
367,3233,2,131,3,0,1,No,IT,low,0.4,0.56
368,3234,5,243,5,0,1,No,IT,low,0.82,0.86
369,3238,6,266,4,0,1,No,IT,low,0.1,0.82
370,3240,2,142,3,0,1,No,IT,low,0.37,0.45
371,68351,2,135,3,0,1,No,IT,low,0.36,0.51
372,3245,2,141,3,0,1,No,product_mng,medium,0.39,0.48
373,3246,2,142,3,0,1,No,product_mng,medium,0.36,0.57
374,68379,5,254,5,0,1,No,product_mng,medium,0.86,0.84
375,3249,5,262,5,0,1,No,product_mng,medium,0.73,0.99
376,3250,4,296,2,0,1,No,IT,medium,0.56,
377,69294,2,158,3,0,1,No,accounting,medium,0.44,0.56
378,3259,4,238,2,0,1,No,accounting,medium,0.31,0.56
379,3260,4,231,5,0,1,No,hr,medium,0.77,0.93
380,3262,2,156,3,0,1,No,hr,medium,0.44,0.45
381,40488,2,145,3,0,1,No,hr,medium,0.38,0.46
382,3288,2,144,3,0,1,No,marketing,medium,0.45,0.48
383,3289,2,159,3,0,1,No,sales,medium,0.38,0.51
384,3297,2,156,3,0,1,No,accounting,high,0.36,0.48
385,3305,5,256,5,0,1,No,support,low,0.75,0.9
386,3306,6,298,4,0,1,No,technical,medium,0.1,0.93
387,3309,6,247,4,0,1,No,management,medium,0.1,0.97
388,3311,2,157,3,0,1,No,marketing,medium,0.45,0.5
389,48921,2,154,3,1,1,No,marketing,medium,0.42,0.57
390,99746,4,253,5,0,1,No,marketing,low,0.78,1.0
391,73366,2,148,3,0,1,No,sales,low,0.45,0.55
392,73530,4,261,5,0,1,No,sales,low,0.84,1.0
393,3332,6,282,4,0,1,No,sales,low,0.11,0.93
394,3344,2,133,3,0,1,No,sales,low,0.42,0.56
395,3347,2,128,3,0,1,No,sales,low,0.45,0.46
396,3350,2,139,3,0,1,No,sales,low,0.46,0.57
397,3354,6,293,5,0,1,No,sales,low,0.09,0.79
398,3369,4,265,6,0,1,No,sales,low,0.87,0.83
399,3381,6,250,4,0,1,No,sales,low,0.1,0.87
400,3396,5,251,6,0,1,No,sales,low,0.91,1.0
401,74142,4,246,5,0,1,No,sales,low,0.76,0.92
402,3405,5,275,5,0,1,No,sales,low,,1.0
403,3406,5,240,5,0,1,No,sales,low,0.92,0.93
404,74582,5,245,5,0,1,No,sales,low,0.76,0.87
405,3422,4,254,4,0,1,No,sales,low,0.47,0.5
406,3425,5,241,5,0,1,No,sales,low,0.73,0.99
407,75664,6,257,4,0,1,No,sales,low,0.09,0.94
408,3461,4,246,5,0,1,No,sales,low,0.91,0.92
409,76341,4,233,5,0,1,No,sales,low,0.82,0.98
410,3465,6,218,4,0,1,No,accounting,low,0.28,0.45
411,77736,4,262,6,0,1,No,accounting,medium,0.84,0.99
412,3482,2,138,3,0,1,No,accounting,medium,0.45,0.53
413,3484,2,142,3,0,1,No,hr,medium,0.45,0.54
414,3502,5,233,5,0,1,No,hr,medium,0.91,0.97
415,78076,2,155,3,0,1,No,hr,medium,0.42,0.48
416,3506,4,229,6,0,1,No,hr,medium,0.82,1.0
417,3517,6,264,4,0,1,No,technical,medium,0.11,0.9
418,3518,3,199,4,0,1,No,technical,medium,0.42,0.53
419,3521,4,223,5,0,1,No,technical,medium,0.82,0.85
420,3530,6,268,4,0,1,No,technical,medium,0.09,0.96
421,3531,6,287,4,0,1,No,technical,medium,0.1,0.94
422,3535,5,257,5,0,1,No,technical,medium,0.86,1.0
423,3536,2,143,3,0,1,No,technical,high,0.4,0.46
424,3546,2,130,3,0,1,No,technical,low,0.45,0.46
425,3548,2,136,3,0,1,No,technical,medium,0.42,0.51
426,3550,4,261,5,0,1,No,technical,medium,0.74,0.92
427,78130,3,180,4,0,1,No,technical,medium,,0.6
428,3569,2,126,3,0,1,No,support,medium,0.37,0.45
429,3573,2,127,3,1,1,No,support,low,0.41,0.52
430,3574,5,195,6,0,1,No,support,low,0.89,0.65
431,3575,2,160,3,0,1,No,support,low,0.41,0.57
432,3588,2,150,3,0,1,No,support,low,0.44,0.51
433,3596,4,264,6,0,1,No,support,low,0.87,0.84
434,3597,6,309,4,0,1,No,support,low,0.1,0.84
435,3598,2,135,3,0,1,No,support,low,0.41,0.47
436,12625,6,261,4,0,1,No,support,low,0.11,0.85
437,79881,2,160,3,0,1,No,support,low,0.43,0.53
438,3615,4,237,5,0,1,No,support,low,0.77,0.9
439,3623,2,136,3,0,1,No,technical,low,0.41,0.52
440,3633,2,139,3,0,1,No,technical,low,0.41,0.48
441,3634,2,151,4,0,1,No,technical,low,0.36,0.78
442,3635,5,229,5,0,1,No,management,low,0.77,
443,3636,5,245,5,0,1,No,IT,low,0.81,0.98
444,3643,2,127,3,0,1,No,IT,low,0.39,0.54
445,3654,6,283,5,0,1,No,IT,low,0.09,0.94
446,3655,2,143,3,0,1,No,IT,low,0.44,0.46
447,3658,5,298,4,0,1,No,IT,low,0.1,0.84
448,3664,2,159,3,0,1,No,product_mng,low,0.36,0.48
449,3665,5,239,5,0,1,No,product_mng,low,0.81,0.92
450,3667,4,226,5,0,1,No,product_mng,medium,0.81,0.9
451,3669,5,248,5,0,1,No,product_mng,medium,0.85,0.98
452,3686,6,286,4,0,1,No,IT,medium,0.1,0.87
453,3694,2,145,3,0,1,No,RandD,medium,0.37,0.54
454,3697,7,254,4,1,1,No,RandD,medium,0.09,0.97
455,3699,2,127,3,0,1,No,RandD,medium,0.44,0.53
456,3700,5,223,5,0,1,No,RandD,medium,0.86,0.93
457,3706,4,255,5,0,1,No,RandD,medium,0.77,1.0
